folder_name,mp_id,element,site_id,is_ionic,source_path,quality_tier
mp_1035757_Mg14FeCuO16__feff_Fe_site_01,1035757,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1035757_Mg14FeCuO16__feff_Fe_site_01,C
mp_1076651_Sr7CaMn3Fe5O24__feff_Fe_site_01,1076651,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1076651_Sr7CaMn3Fe5O24__feff_Fe_site_01,A
mp_1077982_Tb2Fe2Si2C__feff_Fe_site_01,1077982,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1077982_Tb2Fe2Si2C__feff_Fe_site_01,B
mp_1096887_Ca2Fe2O5__feff_Fe_site_01,1096887,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1096887_Ca2Fe2O5__feff_Fe_site_01,A
mp_1099701_Sr7CaMnFe7O24__feff_Fe_site_01,1099701,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1099701_Sr7CaMnFe7O24__feff_Fe_site_01,A
mp_1099798_Sr5Ca3Fe2Co3O102__feff_Fe_site_01,1099798,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1099798_Sr5Ca3Fe2Co3O102__feff_Fe_site_01,A
mp_1173750_NaCaAlFeSiO34__feff_Fe_site_01,1173750,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1173750_NaCaAlFeSiO34__feff_Fe_site_01,A
mp_1176456_MnFeCoPO43__feff_Fe_site_01,1176456,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1176456_MnFeCoPO43__feff_Fe_site_01,A
mp_1176688_LiFeSiO4__feff_Fe_site_01,1176688,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1176688_LiFeSiO4__feff_Fe_site_01,A
mp_1177753_Li3FeO32__feff_Fe_site_01,1177753,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1177753_Li3FeO32__feff_Fe_site_01,A
mp_1181416_MnFeH4NF6__feff_Fe_site_01,1181416,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1181416_MnFeH4NF6__feff_Fe_site_01,A
mp_1182623_MgFe4S3O232__feff_Fe_site_01,1182623,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1182623_MgFe4S3O232__feff_Fe_site_01,A
mp_1187205_Sr2FeCuPbO32__feff_Fe_site_01,1187205,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1187205_Sr2FeCuPbO32__feff_Fe_site_01,C
mp_1193859_NaFeH4SO6F__feff_Fe_site_01,1193859,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1193859_NaFeH4SO6F__feff_Fe_site_01,A
mp_1194719_CsNa2Fe3P4ClO14__feff_Fe_site_01,1194719,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1194719_CsNa2Fe3P4ClO14__feff_Fe_site_01,C
mp_1198416_NaFeSO72__feff_Fe_site_01,1198416,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1198416_NaFeSO72__feff_Fe_site_01,C
mp_1200863_FeP2NO7__feff_Fe_site_01,1200863,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1200863_FeP2NO7__feff_Fe_site_01,A
mp_1201806_FeH21C7S3N__feff_Fe_site_01,1201806,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1201806_FeH21C7S3N__feff_Fe_site_01,A
mp_1202233_Fe2P3O3F3__feff_Fe_site_01,1202233,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1202233_Fe2P3O3F3__feff_Fe_site_01,C
mp_1204465_Fe3P4PbO14__feff_Fe_site_01,1204465,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1204465_Fe3P4PbO14__feff_Fe_site_01,A
mp_1208114_V3ZnFe2O11__feff_Fe_site_01,1208114,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1208114_V3ZnFe2O11__feff_Fe_site_01,A
mp_1209220_RbFeSO42__feff_Fe_site_01,1209220,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1209220_RbFeSO42__feff_Fe_site_01,A
mp_1209643_Sm3Sc2FeO43__feff_Fe_site_01,1209643,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1209643_Sm3Sc2FeO43__feff_Fe_site_01,A
mp_1213707_Cs3Li2FeMoO44__feff_Fe_site_01,1213707,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1213707_Cs3Li2FeMoO44__feff_Fe_site_01,C
mp_1218808_Sr2LaFeO33__feff_Fe_site_01,1218808,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1218808_Sr2LaFeO33__feff_Fe_site_01,A
mp_1222775_Li2FeCoO4__feff_Fe_site_01,1222775,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1222775_Li2FeCoO4__feff_Fe_site_01,A
mp_1223109_La4FeCoO43__feff_Fe_site_01,1223109,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1223109_La4FeCoO43__feff_Fe_site_01,A
mp_1223137_La3SmFeO34__feff_Fe_site_01,1223137,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1223137_La3SmFeO34__feff_Fe_site_01,A
mp_1224545_In2FeSbO7__feff_Fe_site_01,1224545,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1224545_In2FeSbO7__feff_Fe_site_01,A
mp_1227865_Ca4Fe5Si3O142__feff_Fe_site_01,1227865,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1227865_Ca4Fe5Si3O142__feff_Fe_site_01,A
mp_1229026_Al2Fe2Bi2O9__feff_Fe_site_01,1229026,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1229026_Al2Fe2Bi2O9__feff_Fe_site_01,C
mp_1233316_MgFe2O34__feff_Fe_site_01,1233316,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1233316_MgFe2O34__feff_Fe_site_01,A
mp_1233468_MgFe6Sb10IO36__feff_Fe_site_01,1233468,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_1233468_MgFe6Sb10IO36__feff_Fe_site_01,A
