lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,epoch,val_loss,val_lattice_loss,val_coord_loss,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch
0.0001,0,,,,,,,,,,
,4,20.57187271118164,19.43628692626953,1.1355849504470825,0,,,,,,
,7,,,,0,23.643035888671875,22.617937088012695,1.0250979661941528,,,
,7,,,,0,,,,18.789794921875,17.630290985107422,1.1595020294189453
0.0001,8,,,,,,,,,,
,9,9.808591842651367,8.707475662231445,1.1011157035827637,1,,,,,,
,14,47.84703826904297,46.78469467163086,1.0623453855514526,1,,,,,,
,15,,,,1,16.474822998046875,15.42635440826416,1.0484687089920044,,,
,15,,,,1,,,,19.369182586669922,18.283382415771484,1.0857999324798584
0.0001,16,,,,,,,,,,
,19,30.541297912597656,29.4716739654541,1.0696245431900024,2,,,,,,
,23,,,,2,4.869486331939697,3.8514106273651123,1.0180755853652954,,,
,23,,,,2,,,,14.245396614074707,13.188543319702148,1.0568516254425049
0.0001,24,,,,,,,,,,
,24,6.812412738800049,5.8502421379089355,0.962170422077179,3,,,,,,
,29,8.442102432250977,7.445267677307129,0.9968347549438477,3,,,,,,
,31,,,,3,5.36077880859375,4.348201274871826,1.012577772140503,,,
,31,,,,3,,,,7.837064743041992,6.797985553741455,1.0390781164169312
0.0001,32,,,,,,,,,,
,34,7.5805511474609375,6.5330328941345215,1.0475183725357056,4,,,,,,
,39,3.13000750541687,2.086188554763794,1.0438189506530762,4,,,,,,
,39,,,,4,4.257318019866943,3.239132881164551,1.0181849002838135,,,
,39,,,,4,,,,5.744034767150879,4.69773006439209,1.046304702758789
0.0001,40,,,,,,,,,,
,44,3.545710563659668,2.541039228439331,1.004671335220337,5,,,,,,
,47,,,,5,5.316493511199951,4.264851093292236,1.0516427755355835,,,
,47,,,,5,,,,5.44177770614624,4.403736591339111,1.0380408763885498
0.0001,48,,,,,,,,,,
,49,4.9991559982299805,3.944728136062622,1.054427981376648,6,,,,,,
,54,3.5638859272003174,2.4826481342315674,1.08123779296875,6,,,,,,
,55,,,,6,4.397067546844482,3.383927583694458,1.0131399631500244,,,
,55,,,,6,,,,4.348959922790527,3.3072471618652344,1.041712999343872
0.0001,56,,,,,,,,,,
,59,5.574232578277588,4.519196033477783,1.0550366640090942,7,,,,,,
,63,,,,7,3.750164270401001,2.736494779586792,1.0136699676513672,,,
,63,,,,7,,,,4.546789169311523,3.4995439052581787,1.0472452640533447
0.0001,64,,,,,,,,,,
,64,4.503173828125,3.4851126670837402,1.0180610418319702,8,,,,,,
,69,3.007033348083496,1.9782060384750366,1.028827428817749,8,,,,,,
,71,,,,8,3.875241994857788,2.8516623973846436,1.0235795974731445,,,
,71,,,,8,,,,4.116632461547852,3.086728096008301,1.0299041271209717
0.0001,72,,,,,,,,,,
,74,5.473409175872803,4.424588203430176,1.0488208532333374,9,,,,,,
,79,2.561030864715576,1.5477752685546875,1.0132557153701782,9,,,,,,
,79,,,,9,4.798208713531494,3.7583916187286377,1.039817214012146,,,
,79,,,,9,,,,4.471824645996094,3.4517550468444824,1.0200694799423218
0.0001,80,,,,,,,,,,
,84,5.496634006500244,4.417212009429932,1.0794219970703125,10,,,,,,
,87,,,,10,3.5503745079040527,2.5136051177978516,1.0367695093154907,,,
,87,,,,10,,,,4.455834865570068,3.40946364402771,1.0463712215423584
0.0001,88,,,,,,,,,,
,89,4.282003879547119,3.211960792541504,1.0700432062149048,11,,,,,,
,94,3.5708730220794678,2.4962456226348877,1.07462739944458,11,,,,,,
,95,,,,11,3.2423412799835205,2.2230448722839355,1.0192961692810059,,,
,95,,,,11,,,,4.1752543449401855,3.1529793739318848,1.0222748517990112
0.0001,96,,,,,,,,,,
,99,4.489818572998047,3.502408027648926,0.9874107241630554,12,,,,,,
,103,,,,12,4.72888708114624,3.7190845012664795,1.0098023414611816,,,
