lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,epoch,val_loss,val_lattice_loss,val_coord_loss,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch
0.0001,0,,,,,,,,,,
,4,4.441237449645996,3.370121955871582,1.0711156129837036,0,,,,,,
,7,,,,0,8.44124698638916,7.3028950691223145,1.138352632522583,,,
,7,,,,0,,,,8.801714897155762,7.618813991546631,1.1829006671905518
0.0001,8,,,,,,,,,,
,9,3.9729421138763428,2.8131744861602783,1.1597676277160645,1,,,,,,
,14,6.49473762512207,5.277168273925781,1.2175692319869995,1,,,,,,
,15,,,,1,7.779378414154053,6.702176094055176,1.0772018432617188,,,
,15,,,,1,,,,8.10594654083252,7.018479347229004,1.0874669551849365
0.0001,16,,,,,,,,,,
,19,3.400355815887451,2.225991725921631,1.1743642091751099,2,,,,,,
,23,,,,2,3.0857839584350586,2.1306376457214355,0.9551462531089783,,,
,23,,,,2,,,,5.205508708953857,4.123859405517578,1.0816487073898315
0.0001,24,,,,,,,,,,
,24,3.2174925804138184,2.115586519241333,1.1019060611724854,3,,,,,,
,29,2.636446714401245,1.6723591089248657,0.9640876054763794,3,,,,,,
,31,,,,3,3.4041223526000977,2.36225962638855,1.0418627262115479,,,
,31,,,,3,,,,4.661017894744873,3.623091697692871,1.0379258394241333
0.0001,32,,,,,,,,,,
,34,1.9150258302688599,0.9614890217781067,0.9535368084907532,4,,,,,,
,39,2.802485942840576,1.723184585571289,1.0793012380599976,4,,,,,,
,39,,,,4,3.646028518676758,2.6068737506866455,1.0391548871994019,,,
,39,,,,4,,,,3.3804843425750732,2.357128381729126,1.0233559608459473
0.0001,40,,,,,,,,,,
,44,2.56246280670166,1.520047664642334,1.0424151420593262,5,,,,,,
,47,,,,5,2.8568642139434814,1.8418828248977661,1.0149813890457153,,,
,47,,,,5,,,,2.949857234954834,1.9192012548446655,1.0306559801101685
0.0001,48,,,,,,,,,,
,49,3.723834991455078,2.6851608753204346,1.0386741161346436,6,,,,,,
,54,2.9076483249664307,1.905413269996643,1.0022350549697876,6,,,,,,
,55,,,,6,2.595700263977051,1.5526549816131592,1.0430452823638916,,,
,55,,,,6,,,,3.244325876235962,2.2391724586486816,1.0051535367965698
0.0001,56,,,,,,,,,,
,59,2.399563789367676,1.3588193655014038,1.040744423866272,7,,,,,,
,63,,,,7,2.3860812187194824,1.411610722541809,0.9744703769683838,,,
,63,,,,7,,,,3.1202008724212646,2.098651647567749,1.021549105644226
0.0001,64,,,,,,,,,,
,64,2.1249780654907227,0.9339231848716736,1.1910549402236938,8,,,,,,
,69,2.5317893028259277,1.503172755241394,1.0286166667938232,8,,,,,,
,71,,,,8,2.3211746215820312,1.2705838680267334,1.0505905151367188,,,
,71,,,,8,,,,3.0908496379852295,2.0189244747161865,1.071925401687622
0.0001,72,,,,,,,,,,
,74,3.715480327606201,2.6576645374298096,1.0578159093856812,9,,,,,,
,79,2.858794689178467,1.7616201639175415,1.0971744060516357,9,,,,,,
,79,,,,9,3.2451553344726562,2.1495869159698486,1.0955684185028076,,,
,79,,,,9,,,,2.771334409713745,1.7237735986709595,1.047560691833496
0.0001,80,,,,,,,,,,
,84,2.884237766265869,1.8695865869522095,1.0146511793136597,10,,,,,,
,87,,,,10,2.5127217769622803,1.50751793384552,1.0052039623260498,,,
,87,,,,10,,,,2.7790939807891846,1.7562776803970337,1.0228164196014404
0.0001,88,,,,,,,,,,
,89,3.592850685119629,2.427793025970459,1.1650577783584595,11,,,,,,
,94,2.267056703567505,1.2221137285232544,1.0449429750442505,11,,,,,,
,95,,,,11,2.1811444759368896,1.1324266195297241,1.0487178564071655,,,
,95,,,,11,,,,2.577805995941162,1.5310945510864258,1.0467114448547363
0.0001,96,,,,,,,,,,
,99,3.4605069160461426,2.474963665008545,0.9855433702468872,12,,,,,,
,103,,,,12,2.1372478008270264,1.1477710008621216,0.98947674036026,,,
,103,,,,12,,,,2.677739381790161,1.6463295221328735,1.0314102172851562
0.0001,104,,,,,,,,,,
,104,2.2849466800689697,1.1377800703048706,1.1471666097640991,13,,,,,,
,109,2.909247398376465,1.9211008548736572,0.9881465435028076,13,,,,,,
,111,,,,13,2.81748104095459,1.7839945554733276,1.0334863662719727,,,
,111,,,,13,,,,2.487471580505371,1.465247631072998,1.0222240686416626
0.0001,112,,,,,,,,,,
,114,1.8587241172790527,0.8876990079879761,0.9710251688957214,14,,,,,,
,119,2.8018758296966553,1.6649410724639893,1.136934757232666,14,,,,,,
