mp_id,split,lattice_matched,length_rmse,angle_mae,pred_valid,gt_valid,n_atoms,pred_len_max,pred_len_mean,gt_len_mean
1035757,val,False,14568.125,29.847707748413086,True,True,64,15563.1513671875,14528.5498046875,8.545716285705566
1222775,val,False,17161.35546875,101.33428192138672,True,True,64,19122.150390625,17120.1484375,19.209556579589844
1223137,val,False,8723.533203125,30.04082489013672,True,True,60,9307.8818359375,8705.1181640625,10.083049774169922
1227865,val,False,28699.880859375,34.199607849121094,True,True,86,30766.78125,28644.115234375,10.434601783752441
2228386,val,False,7855.5791015625,32.06427001953125,True,True,76,8313.3623046875,7841.02099609375,10.304149627685547
2230150,val,False,22959.154296875,24.503501892089844,True,True,60,23995.6953125,22956.34375,10.289017677307129
551451,val,False,9441.115234375,53.1158447265625,True,True,60,10013.91796875,9425.107421875,12.752358436584473
752847,val,False,17333.80078125,29.243743896484375,True,True,60,18491.755859375,17303.208984375,9.201343536376953
755145,val,False,22376.33203125,48.017608642578125,True,True,72,24033.3828125,22354.365234375,9.944173812866211
759033,val,False,24666.4140625,51.61393356323242,True,True,72,27677.599609375,24577.580078125,10.566071510314941
765583,val,False,26691.53515625,43.21885299682617,True,True,60,28830.556640625,26610.427734375,9.820449829101562
766696,val,False,14330.884765625,38.65360641479492,True,True,104,15024.3154296875,14327.6142578125,10.71448802947998
776318,val,False,19513.890625,30.130401611328125,True,True,112,21354.123046875,19451.71875,10.883894920349121
778265,val,False,22229.001953125,14.874160766601562,True,True,72,24401.37890625,22183.849609375,10.339493751525879
850743,val,False,12542.07421875,18.471372604370117,True,True,96,14254.109375,12488.6494140625,10.341906547546387
1096887,test,False,9906.810546875,29.626312255859375,True,True,72,10235.048828125,9914.1982421875,10.002347946166992
1099701,test,False,27804.13671875,29.773300170898438,True,True,80,32219.08203125,27621.90625,10.412079811096191
1182623,test,False,23661.98828125,22.206016540527344,True,True,114,24069.7109375,23673.712890625,13.651107788085938
1193859,test,False,10955.501953125,22.297861099243164,True,True,84,11094.732421875,10965.6298828125,10.771988868713379
1194719,test,False,18564.703125,68.75070190429688,True,True,100,19756.798828125,18532.984375,15.565269470214844
1201806,test,False,6277.95458984375,19.352781295776367,True,True,132,6698.2294921875,6278.03662109375,12.984475135803223
1224545,test,False,28522.619140625,17.43531036376953,True,True,66,32385.779296875,28391.947265625,12.035494804382324
1233316,test,False,17443.73828125,23.507253646850586,True,True,63,19214.44140625,17406.236328125,9.830229759216309
1289222,test,False,10175.0009765625,29.81098175048828,True,True,60,10292.58203125,10184.1796875,9.441447257995605
2228453,test,False,16925.5703125,52.90656661987305,True,True,70,17751.806640625,16922.896484375,14.207806587219238
698793,test,False,35494.640625,40.11503219604492,True,True,108,40173.53125,35340.09765625,12.742890357971191
754129,test,False,19475.568359375,49.50568771362305,True,True,64,20963.80859375,19434.880859375,10.02028751373291
756955,test,False,28369.388671875,18.970626831054688,True,True,84,29858.43359375,28307.171875,11.117321968078613
759490,test,False,16315.0048828125,30.034021377563477,True,True,108,17582.666015625,16283.1630859375,11.651947021484375
777721,test,False,31484.4453125,60.66141891479492,True,True,70,33161.00390625,31404.8359375,14.30132007598877
