mp_id,formula,folder_name,folder_path,site_nn,total_sites,valid_sites,prim_n_atoms,prim_reason
mp_1001571,CaFeO3_,mp_1001571_CaFeO3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1001571_CaFeO3__feff_Fe_site_01,1,1,1,5,ok
mp_1001606,LuFeC2_,mp_1001606_LuFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1001606_LuFeC2__feff_Fe_site_01,1,1,1,4,ok
mp_1005,FeP,mp_1005_FeP_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1005_FeP_feff_Fe_site_01,1,1,1,8,ok
mp_1006322,CeFeB4,mp_1006322_CeFeB4_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1006322_CeFeB4_feff_Fe_site_01,1,2,2,18,ok
mp_10065,UFe3B2,mp_10065_UFe3B2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_10065_UFe3B2_feff_Fe_site_01,1,1,1,6,ok
mp_1007852,FeCo3,mp_1007852_FeCo3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007852_FeCo3_feff_Fe_site_01,1,1,1,4,ok
mp_1007853,Fe3Ni,mp_1007853_Fe3Ni_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007853_Fe3Ni_feff_Fe_site_01,1,2,2,4,ok
mp_1007854,FeNi3,mp_1007854_FeNi3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007854_FeNi3_feff_Fe_site_01,1,1,1,4,ok
mp_1007855,FeNi3,mp_1007855_FeNi3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007855_FeNi3_feff_Fe_site_01,1,1,1,4,ok
mp_1007862,Fe3Ni,mp_1007862_Fe3Ni_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007862_Fe3Ni_feff_Fe_site_01,1,2,2,4,ok
mp_1007881,FeB,mp_1007881_FeB_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007881_FeB_feff_Fe_site_01,1,1,1,4,ok
mp_1008225,CrFe2Sb,mp_1008225_CrFe2Sb_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008225_CrFe2Sb_feff_Fe_site_01,1,1,1,4,ok
mp_1008226,CrFe2Sn,mp_1008226_CrFe2Sn_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008226_CrFe2Sn_feff_Fe_site_01,1,1,1,4,ok
mp_1008282,Cr3Fe,mp_1008282_Cr3Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008282_Cr3Fe_feff_Fe_site_01,1,1,1,4,ok
mp_1008285,Cr3Fe,mp_1008285_Cr3Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008285_Cr3Fe_feff_Fe_site_01,1,1,1,4,ok
mp_1008530,AlVFeCo,mp_1008530_AlVFeCo_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008530_AlVFeCo_feff_Fe_site_01,1,1,1,4,ok
mp_1008872,MnFeTe,mp_1008872_MnFeTe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008872_MnFeTe_feff_Fe_site_01,1,1,1,3,ok
mp_1008925,LiFeP,mp_1008925_LiFeP_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008925_LiFeP_feff_Fe_site_01,1,1,1,3,ok
mp_1008927,LiFeAs,mp_1008927_LiFeAs_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008927_LiFeAs_feff_Fe_site_01,1,1,1,3,ok
mp_1008929,FeN_,mp_1008929_FeN__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008929_FeN__feff_Fe_site_01,1,1,1,2,ok
mp_1009019,FeN_,mp_1009019_FeN__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1009019_FeN__feff_Fe_site_01,1,1,1,2,ok
mp_1009077,FeH,mp_1009077_FeH_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1009077_FeH_feff_Fe_site_01,1,1,1,2,ok
mp_1009134,MnFe,mp_1009134_MnFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1009134_MnFe_feff_Fe_site_01,1,1,1,2,ok
mp_1009592,CrFeTe,mp_1009592_CrFeTe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1009592_CrFeTe_feff_Fe_site_01,1,1,1,3,ok
mp_1011260,EuFeO3_,mp_1011260_EuFeO3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1011260_EuFeO3__feff_Fe_site_01,1,1,1,10,ok
mp_1012640,CrFeCoNi,mp_1012640_CrFeCoNi_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1012640_CrFeCoNi_feff_Fe_site_01,1,2,2,8,ok
mp_1013849,Li3Fe2GeO43_,mp_1013849_Li3Fe2GeO43__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013849_Li3Fe2GeO43__feff_Fe_site_01,1,1,1,80,ok
mp_1013864,Na3Fe2GeO43_,mp_1013864_Na3Fe2GeO43__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013864_Na3Fe2GeO43__feff_Fe_site_01,1,1,1,80,ok
mp_1013899,LiFe3P3O13_,mp_1013899_LiFe3P3O13__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013899_LiFe3P3O13__feff_Fe_site_01,1,1,1,40,ok
mp_1013910,LiFe2P2O9_,mp_1013910_LiFe2P2O9__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013910_LiFe2P2O9__feff_Fe_site_01,1,1,1,56,ok
mp_1016260,Mg3Fe,mp_1016260_Mg3Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1016260_Mg3Fe_feff_Fe_site_01,1,1,1,4,ok
mp_1016317,Mg7Fe,mp_1016317_Mg7Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1016317_Mg7Fe_feff_Fe_site_01,1,1,1,8,ok
mp_1017511,Cr3Fe,mp_1017511_Cr3Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1017511_Cr3Fe_feff_Fe_site_01,1,1,1,4,ok
mp_1018012,TiFeCoGe,mp_1018012_TiFeCoGe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018012_TiFeCoGe_feff_Fe_site_01,1,1,1,4,ok
mp_1018024,MnFeCoGe,mp_1018024_MnFeCoGe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018024_MnFeCoGe_feff_Fe_site_01,1,1,1,4,ok
mp_1018046,MnGaFe2,mp_1018046_MnGaFe2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018046_MnGaFe2_feff_Fe_site_01,1,1,1,4,ok
