folder_name,folder_path,mp_id,formula,site_nn,has_chi1,has_xmu,has_poscar,chi_std,chi1_valid,chi1_reason,xmu_valid,xmu_reason
mp_1001571_CaFeO3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1001571_CaFeO3__feff_Fe_site_01,mp_1001571,CaFeO3_,01,True,True,True,0.28048575016708194,True,ok,True,ok
mp_1001606_LuFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1001606_LuFeC2__feff_Fe_site_01,mp_1001606,LuFeC2_,01,True,True,True,0.1861523275491054,True,ok,True,ok
mp_1005_FeP_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1005_FeP_feff_Fe_site_01,mp_1005,FeP,01,True,True,True,0.17098790787163953,True,ok,True,ok
mp_1006322_CeFeB4_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1006322_CeFeB4_feff_Fe_site_01,mp_1006322,CeFeB4,01,True,True,True,0.1399990946615765,True,ok,True,ok
mp_1006322_CeFeB4_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1006322_CeFeB4_feff_Fe_site_02,mp_1006322,CeFeB4,02,True,True,True,0.1398699801515484,True,ok,True,ok
mp_10065_UFe3B2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_10065_UFe3B2_feff_Fe_site_01,mp_10065,UFe3B2,01,True,True,True,0.2288562981421638,True,ok,True,ok
mp_1007852_FeCo3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007852_FeCo3_feff_Fe_site_01,mp_1007852,FeCo3,01,True,True,True,0.41853550462229744,True,ok,True,ok
mp_1007853_Fe3Ni_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007853_Fe3Ni_feff_Fe_site_01,mp_1007853,Fe3Ni,01,True,True,True,0.35935013407422745,True,ok,True,ok
mp_1007853_Fe3Ni_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007853_Fe3Ni_feff_Fe_site_02,mp_1007853,Fe3Ni,02,True,True,True,0.35711295822061295,True,ok,True,ok
mp_1007854_FeNi3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007854_FeNi3_feff_Fe_site_01,mp_1007854,FeNi3,01,True,True,True,0.38372576156342253,True,ok,True,ok
mp_1007855_FeNi3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007855_FeNi3_feff_Fe_site_01,mp_1007855,FeNi3,01,True,True,True,0.4194287528327096,True,ok,True,ok
mp_1007862_Fe3Ni_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007862_Fe3Ni_feff_Fe_site_01,mp_1007862,Fe3Ni,01,True,True,True,0.3146581434712396,True,ok,True,ok
mp_1007862_Fe3Ni_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007862_Fe3Ni_feff_Fe_site_02,mp_1007862,Fe3Ni,02,True,True,True,0.2953196874700121,True,ok,True,ok
mp_1007881_FeB_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007881_FeB_feff_Fe_site_01,mp_1007881,FeB,01,True,True,True,0.2033230601712867,True,ok,True,ok
mp_1008225_CrFe2Sb_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008225_CrFe2Sb_feff_Fe_site_01,mp_1008225,CrFe2Sb,01,True,True,True,0.23233529232214103,True,ok,True,ok
mp_1008226_CrFe2Sn_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1008226_CrFe2Sn_feff_Fe_site_01,mp_1008226,CrFe2Sn,01,True,True,True,0.216442807684816,True,ok,True,ok
