folder_name,folder_path,mp_id,formula,site_nn,has_chi1,has_xmu,has_poscar,chi_diff_std,chi_zero_cross,chi1_valid,chi1_reason,xmu_valid,xmu_reason
mp_1001571_CaFeO3__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1001571_CaFeO3__feff_Fe_site_01,mp_1001571,CaFeO3_,01,True,True,True,0.0845255675853352,38,True,ok,True,ok
mp_1001606_LuFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1001606_LuFeC2__feff_Fe_site_01,mp_1001606,LuFeC2_,01,True,True,True,0.13125849708920098,32,True,ok,True,ok
mp_1005_FeP_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1005_FeP_feff_Fe_site_01,mp_1005,FeP,01,True,True,True,0.07047293211867403,36,True,ok,True,ok
mp_1006322_CeFeB4_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1006322_CeFeB4_feff_Fe_site_01,mp_1006322,CeFeB4,01,True,True,True,0.08059938287362894,32,True,ok,True,ok
mp_1006322_CeFeB4_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1006322_CeFeB4_feff_Fe_site_02,mp_1006322,CeFeB4,02,True,True,True,0.08078975002570407,32,True,ok,True,ok
mp_10065_UFe3B2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_10065_UFe3B2_feff_Fe_site_01,mp_10065,UFe3B2,01,True,True,True,0.11635279142675586,33,True,ok,True,ok
mp_1007852_FeCo3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007852_FeCo3_feff_Fe_site_01,mp_1007852,FeCo3,01,True,True,True,0.08761996681143241,35,True,ok,True,ok
mp_1007853_Fe3Ni_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007853_Fe3Ni_feff_Fe_site_01,mp_1007853,Fe3Ni,01,True,True,True,0.07479846208681472,35,True,ok,True,ok
mp_1007853_Fe3Ni_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007853_Fe3Ni_feff_Fe_site_02,mp_1007853,Fe3Ni,02,True,True,True,0.07415641893392018,39,True,ok,True,ok
mp_1007854_FeNi3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1007854_FeNi3_feff_Fe_site_01,mp_1007854,FeNi3,01,True,True,True,0.07106658440429782,34,True,ok,True,ok
