uniform_baseline_std=0.2887  true_approx_std=0.1200
std_at_T=0.2840  std_at_1=0.2701  reduction=4.9%

  step    std_x    std_y    std_z   std_all
  1000   0.2825   0.2785   0.2914    0.2840
   980   0.2842   0.2730   0.2927    0.2831
   960   0.2779   0.2986   0.2919    0.2892
   940   0.3000   0.2760   0.2809    0.2854
   920   0.2919   0.2804   0.2975    0.2901
   900   0.2855   0.2864   0.2920    0.2876
   880   0.3023   0.2663   0.2788    0.2828
   860   0.2855   0.2864   0.2907    0.2880
   840   0.2862   0.2857   0.2886    0.2880
   820   0.2807   0.2864   0.2772    0.2815
   800   0.2874   0.2794   0.3050    0.2908
   780   0.2613   0.2672   0.2902    0.2734
   760   0.2945   0.3139   0.3083    0.3052
   740   0.2832   0.2691   0.2937    0.2817
   720   0.2856   0.2700   0.2961    0.2848
   700   0.3007   0.2821   0.3181    0.3028
   680   0.3087   0.2692   0.2892    0.2917
   660   0.2745   0.2832   0.2415    0.2674
   640   0.2722   0.2717   0.2489    0.2655
   620   0.2527   0.2814   0.2573    0.2655
   600   0.2630   0.2947   0.2391    0.2726
   580   0.2578   0.3000   0.2704    0.2777
   560   0.2619   0.2943   0.2520    0.2755
   540   0.2501   0.2702   0.2697    0.2690
   520   0.2556   0.2848   0.2771    0.2728
   500   0.2629   0.2899   0.2684    0.2748
   480   0.2484   0.2886   0.2686    0.2691
   460   0.2403   0.2924   0.2557    0.2646
   440   0.2297   0.2834   0.2483    0.2550
   420   0.2236   0.2780   0.2559    0.2542
   400   0.2343   0.2834   0.2698    0.2642
   380   0.2356   0.2843   0.2666    0.2642
   360   0.2384   0.2747   0.2617    0.2597
   340   0.2472   0.2787   0.2617    0.2635
   320   0.2388   0.2802   0.2699    0.2645
   300   0.2425   0.2844   0.2713    0.2666
   280   0.2370   0.2849   0.2677    0.2640
   260   0.2435   0.2878   0.2745    0.2697
   240   0.2427   0.2871   0.2780    0.2698
   220   0.2442   0.2876   0.2817    0.2718
   200   0.2489   0.2875   0.2865    0.2750
   180   0.2458   0.2877   0.2850    0.2737
   160   0.2491   0.2850   0.2809    0.2743
   140   0.2486   0.2842   0.2806    0.2724
   120   0.2486   0.2839   0.2811    0.2720
   100   0.2491   0.2843   0.2823    0.2729
    80   0.2500   0.2833   0.2824    0.2728
    60   0.2478   0.2817   0.2805    0.2709
    40   0.2485   0.2815   0.2807    0.2712
    20   0.2498   0.2809   0.2805    0.2712
     1   0.2503   0.2791   0.2789    0.2701
