atomic_number,element_symbol,frequency,class_index
8,O,46305,0
26,Fe,30439,1
3,Li,8866,2
9,F,7004,3
15,P,5255,4
12,Mg,3625,5
16,S,3386,6
14,Si,2604,7
5,B,2251,8
7,N,1875,9
13,Al,1806,10
38,Sr,1760,11
1,H,1605,12
11,Na,1585,13
27,Co,1580,14
25,Mn,1539,15
6,C,1411,16
34,Se,1309,17
20,Ca,1131,18
22,Ti,1110,19
56,Ba,1109,20
33,As,1037,21
29,Cu,1037,22
23,V,1028,23
28,Ni,1012,24
32,Ge,990,25
24,Cr,938,26
57,La,936,27
51,Sb,905,28
19,K,873,29
31,Ga,805,30
17,Cl,746,31
30,Zn,743,32
37,Rb,671,33
50,Sn,655,34
41,Nb,631,35
42,Mo,608,36
39,Y,590,37
40,Zr,581,38
83,Bi,570,39
52,Te,446,40
65,Tb,441,41
74,W,426,42
60,Nd,424,43
66,Dy,404,44
62,Sm,402,45
73,Ta,391,46
55,Cs,381,47
72,Hf,312,48
59,Pr,308,49
68,Er,298,50
21,Sc,269,51
45,Rh,268,52
67,Ho,253,53
58,Ce,253,54
35,Br,229,55
63,Eu,221,56
82,Pb,219,57
53,I,208,58
92,U,207,59
47,Ag,207,60
69,Tm,206,61
44,Ru,181,62
81,Tl,172,63
71,Lu,159,64
78,Pt,147,65
77,Ir,142,66
64,Gd,139,67
4,Be,136,68
48,Cd,134,69
46,Pd,128,70
75,Re,124,71
90,Th,105,72
49,In,92,73
43,Tc,74,74
80,Hg,51,75
76,Os,50,76
70,Yb,43,77
79,Au,35,78
93,Np,34,79
91,Pa,13,80
94,Pu,12,81
54,Xe,5,82
