# purpose: exp5_training_pool
# These samples have site_equivalence_tag in {incompat, near_equivalent_multiset_mismatch}.
# Excluded from Exp4 training. Reserved for Exp5 if a site-averaging strategy is implemented.
# See Step 2.5 Phase D / F report for rationale.
sample_name,mp_id,center_element,original_split,tag,max_shell1_MAE
mp-10004__mp-10004-EXAFS-Mo-K,mp-10004,Mo,train,incompat,999.0
mp-10008__mp-10008-EXAFS-Ca-K,mp-10008,Ca,train,near_equivalent,0.0
mp-1001080__mp-1001080-EXAFS-O-K,mp-1001080,O,train,incompat,0.24879
mp-1001082__mp-1001082-EXAFS-C-K,mp-1001082,C,train,incompat,999.0
mp-1001082__mp-1001082-EXAFS-O-K,mp-1001082,O,train,incompat,0.1051
mp-1001112__mp-1001112-EXAFS-Na-K,mp-1001112,Na,train,incompat,999.0
mp-1001112__mp-1001112-EXAFS-O-K,mp-1001112,O,train,incompat,0.26643
mp-1001113__mp-1001113-EXAFS-Si-K,mp-1001113,Si,val,incompat,999.0
mp-1001117__mp-1001117-EXAFS-Mn-K,mp-1001117,Mn,train,incompat,999.0
mp-1001594__mp-1001594-EXAFS-C-K,mp-1001594,C,train,near_equivalent,0.06789
mp-1001594__mp-1001594-EXAFS-O-K,mp-1001594,O,train,incompat,999.0
mp-1001790__mp-1001790-EXAFS-O-K,mp-1001790,O,test,incompat,999.0
mp-10025__mp-10025-EXAFS-Ru-K,mp-10025,Ru,val,incompat,999.0
mp-10032__mp-10032-EXAFS-Ge-K,mp-10032,Ge,train,incompat,999.0
mp-1003__mp-1003-EXAFS-Ge-K,mp-1003,Ge,train,incompat,999.0
mp-1003__mp-1003-EXAFS-Tb-K,mp-1003,Tb,train,incompat,0.1469
mp-1004528__mp-1004528-EXAFS-B-K,mp-1004528,B,train,incompat,999.0
mp-1004528__mp-1004528-EXAFS-F-K,mp-1004528,F,train,incompat,999.0
mp-1004530__mp-1004530-EXAFS-F-K,mp-1004530,F,train,incompat,999.0
mp-10045__mp-10045-EXAFS-Ba-K,mp-10045,Ba,train,incompat,999.0
mp-10049__mp-10049-EXAFS-As-K,mp-10049,As,train,incompat,999.0
mp-10055__mp-10055-EXAFS-B-K,mp-10055,B,train,incompat,999.0
mp-1005666__mp-1005666-EXAFS-O-K,mp-1005666,O,train,incompat,999.0
mp-1005666__mp-1005666-EXAFS-Sc-K,mp-1005666,Sc,train,incompat,999.0
mp-1005689__mp-1005689-EXAFS-Ga-K,mp-1005689,Ga,train,incompat,999.0
mp-1005689__mp-1005689-EXAFS-Sm-K,mp-1005689,Sm,train,incompat,999.0
mp-1005690__mp-1005690-EXAFS-Co-K,mp-1005690,Co,train,incompat,999.0
mp-1005690__mp-1005690-EXAFS-P-K,mp-1005690,P,train,incompat,999.0
mp-1005690__mp-1005690-EXAFS-Sm-K,mp-1005690,Sm,train,incompat,999.0
