sample_name,mp_id,center_element,reason
mp-1001080__mp-1001080-EXAFS-H-K,mp-1001080,H,chi_invalid
mp-1001112__mp-1001112-EXAFS-H-K,mp-1001112,H,chi_invalid
mp-1007768__mp-1007768-EXAFS-H-K,mp-1007768,H,chi_invalid
mp-1008881__mp-1008881-EXAFS-H-K,mp-1008881,H,chi_invalid
mp-1012668__mp-1012668-EXAFS-Li-K,mp-1012668,Li,chi_invalid
mp-1012740__mp-1012740-EXAFS-H-K,mp-1012740,H,chi_invalid
mp-1097463__mp-1097463-EXAFS-Li-K,mp-1097463,Li,chi_invalid
mp-14704__mp-14704-EXAFS-Li-K,mp-14704,Li,chi_invalid
mp-15254__mp-15254-EXAFS-Li-K,mp-15254,Li,chi_invalid
mp-23662__mp-23662-EXAFS-H-K,mp-23662,H,chi_invalid
mp-23666__mp-23666-EXAFS-H-K,mp-23666,H,chi_invalid
mp-23667__mp-23667-EXAFS-H-K,mp-23667,H,chi_invalid
mp-23668__mp-23668-EXAFS-H-K,mp-23668,H,chi_invalid
mp-23671__mp-23671-EXAFS-H-K,mp-23671,H,chi_invalid
mp-23674__mp-23674-EXAFS-H-K,mp-23674,H,chi_invalid
mp-23680__mp-23680-EXAFS-H-K,mp-23680,H,chi_invalid
mp-23683__mp-23683-EXAFS-H-K,mp-23683,H,chi_invalid
mp-23685__mp-23685-EXAFS-H-K,mp-23685,H,chi_invalid
mp-23688__mp-23688-EXAFS-H-K,mp-23688,H,chi_invalid
mp-23690__mp-23690-EXAFS-H-K,mp-23690,H,chi_invalid
mp-23691__mp-23691-EXAFS-H-K,mp-23691,H,chi_invalid
mp-23694__mp-23694-EXAFS-H-K,mp-23694,H,chi_invalid
mp-23700__mp-23700-EXAFS-H-K,mp-23700,H,chi_invalid
mp-23706__mp-23706-EXAFS-H-K,mp-23706,H,chi_invalid
mp-23710__mp-23710-EXAFS-H-K,mp-23710,H,chi_invalid
mp-23711__mp-23711-EXAFS-H-K,mp-23711,H,chi_invalid
mp-23712__mp-23712-EXAFS-H-K,mp-23712,H,chi_invalid
mp-23717__mp-23717-EXAFS-H-K,mp-23717,H,chi_invalid
mp-23719__mp-23719-EXAFS-Be-K,mp-23719,Be,chi_invalid
mp-23719__mp-23719-EXAFS-H-K,mp-23719,H,chi_invalid
mp-23720__mp-23720-EXAFS-H-K,mp-23720,H,chi_invalid
mp-23723__mp-23723-EXAFS-H-K,mp-23723,H,chi_invalid
mp-23724__mp-23724-EXAFS-H-K,mp-23724,H,chi_invalid
mp-23730__mp-23730-EXAFS-H-K,mp-23730,H,chi_invalid
mp-23731__mp-23731-EXAFS-H-K,mp-23731,H,chi_invalid
mp-23734__mp-23734-EXAFS-H-K,mp-23734,H,chi_invalid
mp-23736__mp-23736-EXAFS-H-K,mp-23736,H,chi_invalid
mp-23739__mp-23739-EXAFS-H-K,mp-23739,H,chi_invalid
mp-23740__mp-23740-EXAFS-H-K,mp-23740,H,chi_invalid
mp-23742__mp-23742-EXAFS-H-K,mp-23742,H,chi_invalid
mp-23743__mp-23743-EXAFS-H-K,mp-23743,H,chi_invalid
mp-23745__mp-23745-EXAFS-H-K,mp-23745,H,chi_invalid
mp-23748__mp-23748-EXAFS-H-K,mp-23748,H,chi_invalid
mp-23751__mp-23751-EXAFS-H-K,mp-23751,H,chi_invalid
mp-23755__mp-23755-EXAFS-H-K,mp-23755,H,chi_invalid
mp-23758__mp-23758-EXAFS-H-K,mp-23758,H,chi_invalid
mp-23763__mp-23763-EXAFS-H-K,mp-23763,H,chi_invalid
mp-23764__mp-23764-EXAFS-H-K,mp-23764,H,chi_invalid
mp-23768__mp-23768-EXAFS-H-K,mp-23768,H,chi_invalid
mp-23772__mp-23772-EXAFS-H-K,mp-23772,H,chi_invalid
mp-23776__mp-23776-EXAFS-H-K,mp-23776,H,chi_invalid
mp-23777__mp-23777-EXAFS-H-K,mp-23777,H,chi_invalid
mp-23778__mp-23778-EXAFS-H-K,mp-23778,H,chi_invalid
mp-23780__mp-23780-EXAFS-H-K,mp-23780,H,chi_invalid
mp-23787__mp-23787-EXAFS-H-K,mp-23787,H,chi_invalid
mp-23791__mp-23791-EXAFS-H-K,mp-23791,H,chi_invalid
mp-23795__mp-23795-EXAFS-H-K,mp-23795,H,chi_invalid
mp-23797__mp-23797-EXAFS-H-K,mp-23797,H,chi_invalid
mp-23798__mp-23798-EXAFS-H-K,mp-23798,H,chi_invalid
mp-23799__mp-23799-EXAFS-H-K,mp-23799,H,chi_invalid
mp-23801__mp-23801-EXAFS-H-K,mp-23801,H,chi_invalid
mp-23804__mp-23804-EXAFS-H-K,mp-23804,H,chi_invalid
mp-23806__mp-23806-EXAFS-H-K,mp-23806,H,chi_invalid
mp-23807__mp-23807-EXAFS-H-K,mp-23807,H,chi_invalid
mp-23810__mp-23810-EXAFS-H-K,mp-23810,H,chi_invalid
mp-23819__mp-23819-EXAFS-H-K,mp-23819,H,chi_invalid
mp-23831__mp-23831-EXAFS-H-K,mp-23831,H,chi_invalid
mp-23835__mp-23835-EXAFS-H-K,mp-23835,H,chi_invalid
mp-23837__mp-23837-EXAFS-H-K,mp-23837,H,chi_invalid
mp-23838__mp-23838-EXAFS-H-K,mp-23838,H,chi_invalid
mp-23843__mp-23843-EXAFS-H-K,mp-23843,H,chi_invalid
mp-23849__mp-23849-EXAFS-H-K,mp-23849,H,chi_invalid
mp-23850__mp-23850-EXAFS-H-K,mp-23850,H,chi_invalid
mp-23852__mp-23852-EXAFS-H-K,mp-23852,H,chi_invalid
mp-23857__mp-23857-EXAFS-H-K,mp-23857,H,chi_invalid
mp-23858__mp-23858-EXAFS-H-K,mp-23858,H,chi_invalid
mp-23866__mp-23866-EXAFS-H-K,mp-23866,H,chi_invalid
mp-23872__mp-23872-EXAFS-H-K,mp-23872,H,chi_invalid
mp-23875__mp-23875-EXAFS-H-K,mp-23875,H,chi_invalid
mp-23876__mp-23876-EXAFS-H-K,mp-23876,H,chi_invalid
mp-23882__mp-23882-EXAFS-H-K,mp-23882,H,chi_invalid
mp-23883__mp-23883-EXAFS-H-K,mp-23883,H,chi_invalid
mp-23885__mp-23885-EXAFS-H-K,mp-23885,H,chi_invalid
mp-23887__mp-23887-EXAFS-H-K,mp-23887,H,chi_invalid
mp-23894__mp-23894-EXAFS-H-K,mp-23894,H,chi_invalid
mp-23902__mp-23902-EXAFS-H-K,mp-23902,H,chi_invalid
mp-23904__mp-23904-EXAFS-H-K,mp-23904,H,chi_invalid
mp-23905__mp-23905-EXAFS-H-K,mp-23905,H,chi_invalid
mp-23906__mp-23906-EXAFS-H-K,mp-23906,H,chi_invalid
mp-23909__mp-23909-EXAFS-H-K,mp-23909,H,chi_invalid
mp-23914__mp-23914-EXAFS-H-K,mp-23914,H,chi_invalid
mp-23922__mp-23922-EXAFS-H-K,mp-23922,H,chi_invalid
