center_element,n_samples,mean_eval_cutoff,median_eval_cutoff,p5_eval_cutoff,p95_eval_cutoff,mean_shell1_n,mean_shell1_outer,mean_shell2_outer,mean_n_shells
O,22441,4.874052750225517,4.273425102233887,3.6090457439422607,9.992491722106934,2.0066396328149367,1.7774481647824503,2.4706893210519225,9.081636290717883
Li,7147,4.460401926338214,3.9277634620666504,3.5122412204742433,9.989339828491211,4.433888344760039,2.1645032736043155,2.9475088277629693,8.402266685322513
P,5495,5.049221460335465,4.557027816772461,3.727066993713379,9.992137145996093,3.989444949954504,1.7106069043943077,3.2308114277220943,7.271519563239308
F,3762,4.737646281877646,4.262977838516235,3.5871766805648804,9.985402059555053,2.261297182349814,2.0252907208817112,2.713613052275636,9.200425305688464
Fe,3481,4.244599646242553,3.993604898452759,3.5033276081085205,5.289137363433838,5.389255960930767,2.14733071777198,3.0580921342954386,9.518816432059753
Mn,3313,4.313762880544665,4.007627964019775,3.5431182384490967,5.472742271423337,5.204044672502264,2.168648704998881,2.9791243454858036,9.473588892242681
S,3258,5.076912703069168,4.858393430709839,4.021177768707275,6.804976272583008,3.005524861878453,2.1781542579625706,3.1564698996098954,10.859422958870473
V,2913,4.44372320036032,4.07740592956543,3.5889837741851807,6.147710609436036,4.793340199107449,2.0004757073094988,2.98305332059104,8.890834191555097
Si,2842,4.57469759249167,4.365297317504883,3.6336991667747496,5.781810951232909,4.288881069669247,1.9786830380045135,3.1544904794850708,10.29064039408867
Cu,2518,4.470824448526426,4.339254379272461,3.492649185657501,5.564644408226013,4.402700555996823,2.2099478949243063,2.969555131209285,11.970214455917395
Ni,2478,4.296382311469995,4.114745378494263,3.5247719168663023,5.156540966033936,5.722356739305892,2.2312914769047207,3.0333119635624306,11.33131557707829
C,2451,4.91123666436465,4.422483921051025,3.642497181892395,9.99256181716919,2.864953080375357,1.4528608389748987,2.4934774772433155,10.321501427988576
Na,2367,4.468029705945278,4.179085731506348,3.5583664178848267,5.988230848312377,5.260245035910435,2.5878785206488932,3.213901951185097,9.663286861005492
Co,2231,4.293328233600891,4.0828142166137695,3.4569547176361084,5.494218349456787,5.343792021515016,2.1489080573239705,2.9964453443076673,11.048857014791574
N,2196,4.837299443333527,4.447401285171509,3.585967779159546,9.986544132232666,2.884790528233151,1.6171640971970689,2.671841308555968,10.53415300546448
Ba,2141,4.594153550783645,4.269020080566406,3.5694363117218018,6.351189136505127,7.675852405418029,3.053808494128673,3.610190635749749,11.569827183559084
B,2097,4.602869563859931,4.152608394622803,3.4518638134002684,9.988009262084962,3.5546018121125416,1.6000637996748168,2.880118425709893,9.33857892226991
K,1985,4.837341557341799,4.543346405029297,3.732513666152954,6.420474338531493,8.585894206549119,3.145430254756053,3.7218343315095552,10.144080604534006
Ti,1847,4.303263506762841,4.098545074462891,3.632828640937805,5.369337940216065,5.4174336762317274,2.156456711683392,3.005644410897024,10.690850027070926
Ca,1826,4.494457380142295,4.228487253189087,3.5213078260421753,6.038812041282654,6.2261774370208105,2.6533066896070916,3.3322710104343796,10.391018619934282
Cl,1818,5.097272066655594,5.053320407867432,3.932433211803436,6.289834904670712,2.677117711771177,2.51920228940819,3.382982336451905,10.988448844884488
Cr,1804,4.296761457513019,4.04592752456665,3.5671919703483583,5.325634002685547,5.3996674057649665,2.060746341084694,3.0591305008616523,9.88968957871397
Al,1697,4.552647531910651,4.38349723815918,3.5236804485321045,5.96117067337036,5.602828520919269,2.2542657727133055,3.2414280079221753,11.545079552150854
