center_element,n_gaps,mean,median,p80,p85,p90,p95
O,1267759,0.06120629981160164,0.022310256958007812,0.08293294906616211,0.10798138380050659,0.15126299858093262,0.2532162666320801
Li,435935,0.05251464620232582,0.01555013656616211,0.06612502038478851,0.0874946117401123,0.12328696250915527,0.21357011795043945
P,297592,0.06502866744995117,0.02229785919189453,0.0741061195731163,0.09370443224906921,0.12631124258041382,0.2072531282901764
F,207908,0.059389133006334305,0.020743131637573242,0.08234716951847076,0.10797422379255295,0.1523851901292801,0.25252535939216614
Fe,200491,0.05591534823179245,0.010303020477294922,0.0629262924194336,0.08638215065002441,0.1298966407775879,0.24842596054077148
Mn,189749,0.05600453540682793,0.011273384094238281,0.06602926552295685,0.09028100967407227,0.13307419419288635,0.24437880516052246
V,163757,0.05861274525523186,0.013646125793457031,0.06882262229919434,0.09280387312173843,0.13498973846435547,0.24003927409648895
Si,141462,0.06633612513542175,0.011408090591430664,0.07294197380542755,0.10161303728818893,0.15102875232696533,0.2843989133834839
Ni,140110,0.055968884378671646,0.0009673833847045898,0.056374408304691315,0.08517137914896011,0.14145006239414215,0.3038564920425415
B,131104,0.057621028274297714,0.013198375701904297,0.06486258655786514,0.08713853359222412,0.1274292767047882,0.22765031456947327
C,127623,0.07182280719280243,0.015021324157714844,0.08114767074584961,0.110694020986557,0.1628759205341339,0.3125303387641907
Co,126560,0.05633948743343353,0.003303050994873047,0.058847665786743164,0.08642233908176422,0.13796789944171906,0.2855491638183594
S,119962,0.08531084656715393,0.021384239196777344,0.10609753429889679,0.14476366341114044,0.21238425374031067,0.39381420612335205
Cu,119488,0.06611677259206772,0.003535032272338867,0.07575683295726776,0.11120567470788956,0.17825452983379364,0.36023464798927307
Na,117868,0.05912398174405098,0.015015602111816406,0.0819917768239975,0.1089412271976471,0.1537257432937622,0.25909149646759033
N,110417,0.0715705007314682,0.01424407958984375,0.08110494911670685,0.1120147779583931,0.16850173473358154,0.32544633746147156
Cr,104621,0.05667223036289215,0.007545948028564453,0.05937385559082031,0.0855550765991211,0.1321563720703125,0.26114964485168457
Ti,99627,0.059788018465042114,0.005252361297607422,0.0630444660782814,0.09175579994916916,0.1469866782426834,0.2898915112018585
Ba,84724,0.06485670804977417,0.0013427734375,0.0821249932050705,0.11884205788373947,0.18574698269367218,0.34769609570503235
Ca,84694,0.06084410101175308,0.00830531120300293,0.07758736610412598,0.1066773533821106,0.15685312449932098,0.2781604826450348
Al,84199,0.06351795792579651,0.0014290809631347656,0.06158946827054024,0.09221018105745316,0.15449680387973785,0.3315500319004059
K,77046,0.06536972522735596,0.016456246376037598,0.09432363510131836,0.12387323379516602,0.17424416542053223,0.28568828105926514
Zn,76366,0.06387041509151459,0.0017740726470947266,0.0690603256225586,0.09981679916381836,0.15642225742340088,0.32150131464004517
Mg,74583,0.05958809331059456,0.0010170936584472656,0.06468010693788528,0.0924874097108841,0.14459916949272156,0.28782564401626587
Sb,61518,0.07832884788513184,0.008220434188842773,0.0881446972489357,0.12598615884780884,0.19672000408172607,0.3917202949523926
Sn,61388,0.07438838481903076,0.0016970634460449219,0.07842245697975159,0.11854884773492813,0.1953957974910736,0.4016656279563904
Ge,61123,0.07340846955776215,0.0017647743225097656,0.0807730033993721,0.12164971232414246,0.19644448161125183,0.388062447309494
Cl,60182,0.08669865131378174,0.02250993251800537,0.12051089107990265,0.1615881770849228,0.23097147047519684,0.38537558913230896
Sr,58784,0.06468745321035385,0.006934404373168945,0.0821479856967926,0.11582744121551514,0.17398956418037415,0.3299943804740906
Bi,51064,0.07622795552015305,0.01565384864807129,0.09352512657642365,0.12657137215137482,0.18682241439819336,0.3527711033821106
Se,49864,0.09373694658279419,0.024466514587402344,0.12088754773139954,0.16574916243553162,0.24514785408973694,0.4415275752544403
Mo,49800,0.07048676162958145,0.01682257652282715,0.08205431699752808,0.10987111181020737,0.1613343358039856,0.29104965925216675
Nb,49201,0.06825236231088638,0.007392406463623047,0.07346296310424805,0.10435342788696289,0.16327309608459473,0.31997251510620117
W,47190,0.06580448150634766,0.01135563850402832,0.07204000651836395,0.10001767426729202,0.14602577686309814,0.2745281755924225
As,46243,0.07902109622955322,0.012047767639160156,0.08755437284708023,0.12178175151348114,0.18352434039115906,0.36913052201271057
La,45498,0.06692122668027878,0.007252216339111328,0.07933765649795532,0.1121540367603302,0.17426618933677673,0.34098342061042786
Te,44764,0.08620700985193253,0.019114255905151367,0.10489621758460999,0.14575199782848358,0.22044792771339417,0.41570085287094116
Ga,41260,0.07208185642957687,0.0,0.07200098037719727,0.11140166968107224,0.18615275621414185,0.3948204517364502
Y,40390,0.0662875771522522,0.0,0.06766735762357712,0.10243918746709824,0.1673172116279602,0.35770732164382935
Ag,39444,0.07380731403827667,0.0022008419036865234,0.08587351441383362,0.1268591731786728,0.2048201709985733,0.3960464894771576
Rb,36263,0.06850025057792664,0.014743804931640625,0.0970858484506607,0.13014237582683563,0.18398670852184296,0.3155658543109894
In,35843,0.07973276078701019,0.0,0.07480677962303162,0.1238587349653244,0.22421450912952423,0.47557392716407776
Ta,35343,0.06896030902862549,0.0031609535217285156,0.06755723059177399,0.10093050450086594,0.16318419575691223,0.3562842011451721
Zr,33704,0.06761888414621353,0.0,0.060641489923000336,0.09424068033695221,0.1658145934343338,0.37054744362831116
Cs,31389,0.07058236747980118,0.007399082183837891,0.09683218598365784,0.13452015817165375,0.19625939428806305,0.35507288575172424
Nd,29982,0.06645218282938004,0.0,0.07118980586528778,0.10600125789642334,0.17187711596488953,0.35850387811660767
Pd,29923,0.0723208636045456,0.0,0.05053234100341797,0.10475951433181763,0.22076235711574554,0.47401174902915955
Pb,28880,0.07631732523441315,0.00653076171875,0.09355780482292175,0.1342325657606125,0.19846761226654053,0.37810832262039185
U,28859,0.07146589457988739,0.0,0.06744842976331711,0.1100040078163147,0.18417313694953918,0.4116951823234558
Rh,28574,0.06612233072519302,0.0,0.037133120000362396,0.08328995108604431,0.19528013467788696,0.4430108666419983
Ce,28243,0.06821360439062119,0.0,0.06565626710653305,0.10540232807397842,0.1814189851284027,0.39747756719589233
Ru,27827,0.06825282424688339,0.0,0.043849777430295944,0.09086877107620239,0.19396205246448517,0.43446096777915955
Cd,27754,0.0808902382850647,0.0,0.06839542090892792,0.11272817105054855,0.2110588103532791,0.5128096342086792
Pt,26406,0.0718226358294487,0.0,0.048265933990478516,0.09434664249420166,0.2074565887451172,0.47360002994537354
Sc,25276,0.06321652978658676,0.0,0.0501408576965332,0.08587890863418579,0.15974998474121094,0.3747866153717041
Pr,24203,0.06948436051607132,0.0,0.07628773897886276,0.1123579815030098,0.17935660481452942,0.3756585419178009
Tl,24165,0.07999663054943085,0.0014262199401855469,0.09514352679252625,0.13844405114650726,0.21683529019355774,0.4165337383747101
I,23768,0.1028255969285965,0.021371304988861084,0.13171128928661346,0.18267148733139038,0.2863244414329529,0.5484647750854492
Ho,22266,0.06448333710432053,0.0,0.07125043869018555,0.10633981227874756,0.16434311866760254,0.33316075801849365
Sm,21816,0.06776056438684464,0.0,0.07082271575927734,0.10979771614074707,0.18097269535064697,0.3741515874862671
Ir,21756,0.06891774386167526,0.0,0.04070425033569336,0.08765935897827148,0.1975550651550293,0.4478948712348938
Er,21529,0.06530188769102097,0.0,0.06198509782552719,0.09865793585777283,0.16684994101524353,0.3699413537979126
Au,21109,0.08081591129302979,0.0,0.06890545040369034,0.12446499615907669,0.24116849899291992,0.5108305811882019
Br,20974,0.09740736335515976,0.018712282180786133,0.13454346358776093,0.18758520483970642,0.280916690826416,0.49318188428878784
Gd,20278,0.06433356553316116,0.0,0.0666414350271225,0.09906674921512604,0.1639009267091751,0.34282493591308594
Dy,20143,0.06662727147340775,0.0,0.06765676289796829,0.10635308176279068,0.1755007654428482,0.37347909808158875
