mp_id,center_element,sample_name,site_equivalence_tag
mp-10003,Co,mp-10003__mp-10003-EXAFS-Co-K,equivalent
mp-10003,Nb,mp-10003__mp-10003-EXAFS-Nb-K,equivalent
mp-10003,Si,mp-10003__mp-10003-EXAFS-Si-K,equivalent
mp-10004,P,mp-10004__mp-10004-EXAFS-P-K,equivalent
mp-10008,Ge,mp-10008__mp-10008-EXAFS-Ge-K,single_site
mp-1001011,O,mp-1001011__mp-1001011-EXAFS-O-K,equivalent
mp-1001011,Ta,mp-1001011__mp-1001011-EXAFS-Ta-K,equivalent
mp-1001012,S,mp-1001012__mp-1001012-EXAFS-S-K,equivalent
mp-1001012,Sc,mp-1001012__mp-1001012-EXAFS-Sc-K,equivalent
mp-1001012,Zn,mp-1001012__mp-1001012-EXAFS-Zn-K,equivalent
mp-1001015,S,mp-1001015__mp-1001015-EXAFS-S-K,equivalent
mp-1001015,Y,mp-1001015__mp-1001015-EXAFS-Y-K,equivalent
mp-1001015,Zn,mp-1001015__mp-1001015-EXAFS-Zn-K,equivalent
mp-1001016,Sc,mp-1001016__mp-1001016-EXAFS-Sc-K,equivalent
mp-1001016,Se,mp-1001016__mp-1001016-EXAFS-Se-K,equivalent
mp-1001016,Zn,mp-1001016__mp-1001016-EXAFS-Zn-K,equivalent
mp-1001022,Cu,mp-1001022__mp-1001022-EXAFS-Cu-K,equivalent
mp-1001022,P,mp-1001022__mp-1001022-EXAFS-P-K,equivalent
mp-1001022,Pd,mp-1001022__mp-1001022-EXAFS-Pd-K,equivalent
mp-1001024,Mg,mp-1001024__mp-1001024-EXAFS-Mg-K,equivalent
mp-1001024,S,mp-1001024__mp-1001024-EXAFS-S-K,equivalent
mp-1001024,Y,mp-1001024__mp-1001024-EXAFS-Y-K,equivalent
mp-1001034,In,mp-1001034__mp-1001034-EXAFS-In-K,equivalent
mp-1001034,Mg,mp-1001034__mp-1001034-EXAFS-Mg-K,equivalent
mp-1001034,Se,mp-1001034__mp-1001034-EXAFS-Se-K,equivalent
mp-1001080,C,mp-1001080__mp-1001080-EXAFS-C-K,equivalent
mp-1001082,Si,mp-1001082__mp-1001082-EXAFS-Si-K,equivalent
mp-10010,Al,mp-10010__mp-10010-EXAFS-Al-K,single_site
mp-10010,Co,mp-10010__mp-10010-EXAFS-Co-K,equivalent
mp-10010,Si,mp-10010__mp-10010-EXAFS-Si-K,equivalent
mp-1001112,C,mp-1001112__mp-1001112-EXAFS-C-K,equivalent
mp-1001117,N,mp-1001117__mp-1001117-EXAFS-N-K,equivalent
mp-10013,S,mp-10013__mp-10013-EXAFS-S-K,single_site
mp-10013,Sn,mp-10013__mp-10013-EXAFS-Sn-K,single_site
mp-10014,S,mp-10014__mp-10014-EXAFS-S-K,equivalent
mp-10014,Ta,mp-10014__mp-10014-EXAFS-Ta-K,single_site
mp-1001581,C,mp-1001581__mp-1001581-EXAFS-C-K,equivalent
mp-1001581,Li,mp-1001581__mp-1001581-EXAFS-Li-K,single_site
mp-10015,Os,mp-10015__mp-10015-EXAFS-Os-K,single_site
mp-10015,Si,mp-10015__mp-10015-EXAFS-Si-K,single_site
mp-1001602,B,mp-1001602__mp-1001602-EXAFS-B-K,equivalent
mp-1001602,W,mp-1001602__mp-1001602-EXAFS-W-K,single_site
mp-1001603,C,mp-1001603__mp-1001603-EXAFS-C-K,equivalent
mp-1001603,Lu,mp-1001603__mp-1001603-EXAFS-Lu-K,single_site
mp-1001603,Ni,mp-1001603__mp-1001603-EXAFS-Ni-K,single_site
mp-1001604,Lu,mp-1001604__mp-1001604-EXAFS-Lu-K,single_site
mp-1001604,S,mp-1001604__mp-1001604-EXAFS-S-K,equivalent
mp-1001604,Tl,mp-1001604__mp-1001604-EXAFS-Tl-K,single_site
mp-1001605,Bi,mp-1001605__mp-1001605-EXAFS-Bi-K,single_site
mp-1001605,Pr,mp-1001605__mp-1001605-EXAFS-Pr-K,single_site
mp-1001611,Lu,mp-1001611__mp-1001611-EXAFS-Lu-K,single_site
mp-1001611,Se,mp-1001611__mp-1001611-EXAFS-Se-K,equivalent
mp-1001611,Tl,mp-1001611__mp-1001611-EXAFS-Tl-K,single_site
mp-1001612,Lu,mp-1001612__mp-1001612-EXAFS-Lu-K,equivalent
mp-1001612,Si,mp-1001612__mp-1001612-EXAFS-Si-K,equivalent
mp-1001613,Ga,mp-1001613__mp-1001613-EXAFS-Ga-K,equivalent
mp-1001613,Lu,mp-1001613__mp-1001613-EXAFS-Lu-K,equivalent
mp-1001783,Li,mp-1001783__mp-1001783-EXAFS-Li-K,single_site
mp-1001783,S,mp-1001783__mp-1001783-EXAFS-S-K,equivalent
mp-1001783,Sn,mp-1001783__mp-1001783-EXAFS-Sn-K,single_site
mp-1001785,Mo,mp-1001785__mp-1001785-EXAFS-Mo-K,single_site
mp-1001785,P,mp-1001785__mp-1001785-EXAFS-P-K,single_site
mp-1001786,Li,mp-1001786__mp-1001786-EXAFS-Li-K,single_site
mp-1001786,S,mp-1001786__mp-1001786-EXAFS-S-K,equivalent
mp-1001786,Sc,mp-1001786__mp-1001786-EXAFS-Sc-K,single_site
mp-1001788,B,mp-1001788__mp-1001788-EXAFS-B-K,equivalent
mp-1001788,Zr,mp-1001788__mp-1001788-EXAFS-Zr-K,single_site
mp-1001789,C,mp-1001789__mp-1001789-EXAFS-C-K,single_site
mp-1001789,Ir,mp-1001789__mp-1001789-EXAFS-Ir-K,single_site
mp-1001793,Cl,mp-1001793__mp-1001793-EXAFS-Cl-K,equivalent
mp-1001793,Co,mp-1001793__mp-1001793-EXAFS-Co-K,equivalent
mp-1001793,K,mp-1001793__mp-1001793-EXAFS-K-K,equivalent
mp-1001824,C,mp-1001824__mp-1001824-EXAFS-C-K,single_site
mp-1001824,Ir,mp-1001824__mp-1001824-EXAFS-Ir-K,single_site
mp-1001825,Be,mp-1001825__mp-1001825-EXAFS-Be-K,equivalent
mp-1001825,Li,mp-1001825__mp-1001825-EXAFS-Li-K,equivalent
mp-1001826,N,mp-1001826__mp-1001826-EXAFS-N-K,single_site
mp-1001826,V,mp-1001826__mp-1001826-EXAFS-V-K,single_site
mp-1001827,C,mp-1001827__mp-1001827-EXAFS-C-K,single_site
mp-1001827,Ir,mp-1001827__mp-1001827-EXAFS-Ir-K,single_site
mp-1001828,N,mp-1001828__mp-1001828-EXAFS-N-K,single_site
mp-1001828,W,mp-1001828__mp-1001828-EXAFS-W-K,single_site
mp-1001831,B,mp-1001831__mp-1001831-EXAFS-B-K,equivalent
mp-1001831,Li,mp-1001831__mp-1001831-EXAFS-Li-K,equivalent
mp-1001833,Bi,mp-1001833__mp-1001833-EXAFS-Bi-K,single_site
mp-1001833,In,mp-1001833__mp-1001833-EXAFS-In-K,single_site
mp-1001834,Hf,mp-1001834__mp-1001834-EXAFS-Hf-K,single_site
mp-1001834,N,mp-1001834__mp-1001834-EXAFS-N-K,single_site
mp-1001836,Ga,mp-1001836__mp-1001836-EXAFS-Ga-K,single_site
mp-1001836,Mn,mp-1001836__mp-1001836-EXAFS-Mn-K,single_site
mp-1001837,Mo,mp-1001837__mp-1001837-EXAFS-Mo-K,single_site
mp-1001837,P,mp-1001837__mp-1001837-EXAFS-P-K,single_site
mp-1001843,Ho,mp-1001843__mp-1001843-EXAFS-Ho-K,single_site
mp-1001843,P,mp-1001843__mp-1001843-EXAFS-P-K,single_site
mp-1001844,Ho,mp-1001844__mp-1001844-EXAFS-Ho-K,single_site
mp-1001844,N,mp-1001844__mp-1001844-EXAFS-N-K,single_site
mp-10018,Ac,mp-10018__mp-10018-EXAFS-Ac-K,single_site
mp-1001917,As,mp-1001917__mp-1001917-EXAFS-As-K,single_site
mp-1001917,Ho,mp-1001917__mp-1001917-EXAFS-Ho-K,single_site
mp-1001925,C,mp-1001925__mp-1001925-EXAFS-C-K,single_site
mp-1001925,La,mp-1001925__mp-1001925-EXAFS-La-K,single_site
mp-1001,Ba,mp-1001__mp-1001-EXAFS-Ba-K,equivalent
mp-1001,N,mp-1001__mp-1001-EXAFS-N-K,equivalent
mp-1002063,S,mp-1002063__mp-1002063-EXAFS-S-K,equivalent
mp-1002063,Sn,mp-1002063__mp-1002063-EXAFS-Sn-K,equivalent
mp-1002069,Cl,mp-1002069__mp-1002069-EXAFS-Cl-K,single_site
mp-1002069,I,mp-1002069__mp-1002069-EXAFS-I-K,single_site
mp-1002069,Na,mp-1002069__mp-1002069-EXAFS-Na-K,single_site
mp-1002080,Cl,mp-1002080__mp-1002080-EXAFS-Cl-K,single_site
mp-1002080,Cs,mp-1002080__mp-1002080-EXAFS-Cs-K,single_site
mp-1002080,I,mp-1002080__mp-1002080-EXAFS-I-K,single_site
mp-1002080,Li,mp-1002080__mp-1002080-EXAFS-Li-K,single_site
mp-1002081,Cl,mp-1002081__mp-1002081-EXAFS-Cl-K,single_site
mp-1002081,I,mp-1002081__mp-1002081-EXAFS-I-K,single_site
mp-1002081,K,mp-1002081__mp-1002081-EXAFS-K-K,single_site
mp-1002081,Na,mp-1002081__mp-1002081-EXAFS-Na-K,single_site
mp-1002083,Cl,mp-1002083__mp-1002083-EXAFS-Cl-K,single_site
mp-1002083,Cs,mp-1002083__mp-1002083-EXAFS-Cs-K,single_site
mp-1002083,I,mp-1002083__mp-1002083-EXAFS-I-K,single_site
mp-1002083,K,mp-1002083__mp-1002083-EXAFS-K-K,single_site
mp-1002104,La,mp-1002104__mp-1002104-EXAFS-La-K,equivalent
mp-1002104,Pt,mp-1002104__mp-1002104-EXAFS-Pt-K,equivalent
mp-1002106,Hf,mp-1002106__mp-1002106-EXAFS-Hf-K,single_site
mp-1002106,Pd,mp-1002106__mp-1002106-EXAFS-Pd-K,single_site
mp-1002114,V,mp-1002114__mp-1002114-EXAFS-V-K,single_site
mp-1002115,La,mp-1002115__mp-1002115-EXAFS-La-K,equivalent
mp-1002115,Pd,mp-1002115__mp-1002115-EXAFS-Pd-K,equivalent
mp-1002117,N,mp-1002117__mp-1002117-EXAFS-N-K,single_site
mp-1002117,Tc,mp-1002117__mp-1002117-EXAFS-Tc-K,single_site
mp-1002123,K,mp-1002123__mp-1002123-EXAFS-K-K,single_site
mp-1002123,S,mp-1002123__mp-1002123-EXAFS-S-K,equivalent
mp-1002123,Zr,mp-1002123__mp-1002123-EXAFS-Zr-K,single_site
mp-1002133,Ga,mp-1002133__mp-1002133-EXAFS-Ga-K,equivalent
mp-1002133,La,mp-1002133__mp-1002133-EXAFS-La-K,equivalent
mp-1002164,C,mp-1002164__mp-1002164-EXAFS-C-K,single_site
mp-1002164,Ge,mp-1002164__mp-1002164-EXAFS-Ge-K,single_site
mp-1002165,C,mp-1002165__mp-1002165-EXAFS-C-K,single_site
mp-1002165,Ge,mp-1002165__mp-1002165-EXAFS-Ge-K,single_site
mp-1002187,B,mp-1002187__mp-1002187-EXAFS-B-K,single_site
mp-1002187,Tc,mp-1002187__mp-1002187-EXAFS-Tc-K,single_site
mp-1002188,B,mp-1002188__mp-1002188-EXAFS-B-K,single_site
mp-1002188,Tc,mp-1002188__mp-1002188-EXAFS-Tc-K,single_site
mp-1002197,N,mp-1002197__mp-1002197-EXAFS-N-K,single_site
mp-1002197,Ru,mp-1002197__mp-1002197-EXAFS-Ru-K,single_site
mp-10021,Ga,mp-10021__mp-10021-EXAFS-Ga-K,equivalent
mp-1002207,N,mp-1002207__mp-1002207-EXAFS-N-K,single_site
mp-1002207,Re,mp-1002207__mp-1002207-EXAFS-Re-K,single_site
mp-1002209,N,mp-1002209__mp-1002209-EXAFS-N-K,single_site
mp-1002209,Re,mp-1002209__mp-1002209-EXAFS-Re-K,single_site
mp-1002210,Eu,mp-1002210__mp-1002210-EXAFS-Eu-K,single_site
mp-1002210,S,mp-1002210__mp-1002210-EXAFS-S-K,single_site
mp-1002220,Sb,mp-1002220__mp-1002220-EXAFS-Sb-K,single_site
mp-1002220,Tm,mp-1002220__mp-1002220-EXAFS-Tm-K,single_site
mp-1002222,N,mp-1002222__mp-1002222-EXAFS-N-K,single_site
mp-1002222,Tl,mp-1002222__mp-1002222-EXAFS-Tl-K,single_site
mp-1002223,P,mp-1002223__mp-1002223-EXAFS-P-K,single_site
mp-1002224,Er,mp-1002224__mp-1002224-EXAFS-Er-K,single_site
mp-1002224,P,mp-1002224__mp-1002224-EXAFS-P-K,single_site
mp-1002226,As,mp-1002226__mp-1002226-EXAFS-As-K,single_site
mp-1002226,Er,mp-1002226__mp-1002226-EXAFS-Er-K,single_site
mp-1002230,Bi,mp-1002230__mp-1002230-EXAFS-Bi-K,single_site
mp-1002230,Pu,mp-1002230__mp-1002230-EXAFS-Pu-K,single_site
mp-10023,La,mp-10023__mp-10023-EXAFS-La-K,single_site
mp-10026,Sc,mp-10026__mp-10026-EXAFS-Sc-K,equivalent
mp-10026,Te,mp-10026__mp-10026-EXAFS-Te-K,equivalent
mp-10027,Se,mp-10027__mp-10027-EXAFS-Se-K,equivalent
mp-10027,Ti,mp-10027__mp-10027-EXAFS-Ti-K,equivalent
mp-10030,C,mp-10030__mp-10030-EXAFS-C-K,single_site
mp-10030,Ru,mp-10030__mp-10030-EXAFS-Ru-K,single_site
mp-10032,Os,mp-10032__mp-10032-EXAFS-Os-K,equivalent
mp-10033,Nb,mp-10033__mp-10033-EXAFS-Nb-K,equivalent
mp-10033,S,mp-10033__mp-10033-EXAFS-S-K,equivalent
mp-10036,Al,mp-10036__mp-10036-EXAFS-Al-K,single_site
mp-10036,Ce,mp-10036__mp-10036-EXAFS-Ce-K,equivalent
mp-10037,Al,mp-10037__mp-10037-EXAFS-Al-K,single_site
mp-10037,C,mp-10037__mp-10037-EXAFS-C-K,single_site
mp-10037,Co,mp-10037__mp-10037-EXAFS-Co-K,equivalent
mp-10038,Al,mp-10038__mp-10038-EXAFS-Al-K,single_site
mp-10038,C,mp-10038__mp-10038-EXAFS-C-K,single_site
mp-10038,Er,mp-10038__mp-10038-EXAFS-Er-K,equivalent
mp-10039,Al,mp-10039__mp-10039-EXAFS-Al-K,single_site
mp-10039,C,mp-10039__mp-10039-EXAFS-C-K,single_site
mp-10039,Pr,mp-10039__mp-10039-EXAFS-Pr-K,equivalent
mp-10040,Al,mp-10040__mp-10040-EXAFS-Al-K,single_site
mp-10040,C,mp-10040__mp-10040-EXAFS-C-K,single_site
mp-10040,Pt,mp-10040__mp-10040-EXAFS-Pt-K,equivalent
mp-10041,Al,mp-10041__mp-10041-EXAFS-Al-K,single_site
mp-10041,C,mp-10041__mp-10041-EXAFS-C-K,single_site
mp-10041,Tb,mp-10041__mp-10041-EXAFS-Tb-K,equivalent
mp-1004377,B,mp-1004377__mp-1004377-EXAFS-B-K,equivalent
mp-1004377,Hf,mp-1004377__mp-1004377-EXAFS-Hf-K,single_site
mp-1004524,I,mp-1004524__mp-1004524-EXAFS-I-K,equivalent
mp-1004524,Pb,mp-1004524__mp-1004524-EXAFS-Pb-K,single_site
mp-1004525,B,mp-1004525__mp-1004525-EXAFS-B-K,equivalent
mp-1004525,Sm,mp-1004525__mp-1004525-EXAFS-Sm-K,single_site
mp-1004526,S,mp-1004526__mp-1004526-EXAFS-S-K,equivalent
mp-1004526,W,mp-1004526__mp-1004526-EXAFS-W-K,equivalent
mp-1004528,Cs,mp-1004528__mp-1004528-EXAFS-Cs-K,single_site
mp-1004528,Pb,mp-1004528__mp-1004528-EXAFS-Pb-K,single_site
mp-1004530,B,mp-1004530__mp-1004530-EXAFS-B-K,single_site
mp-1004530,Cs,mp-1004530__mp-1004530-EXAFS-Cs-K,single_site
mp-1004530,I,mp-1004530__mp-1004530-EXAFS-I-K,equivalent
