sample_name,kind,reference,compared_to,R_factor,Pearson,RMSE,MAE,n_pts
mp-10924__mp-10924-EXAFS-Mg-K,chi,orig,pred,133225.24806985693,0.1730472338819178,40.57637498200005,34.9652354612917,200
mp-10924__mp-10924-EXAFS-Mg-K,chi,orig,true,638914.3516217588,0.1352680472599111,88.85897481163485,71.7756427656049,200
mp-10924__mp-10924-EXAFS-Mg-K,chi,true,pred,0.30305083812761996,0.9855056634896697,47.74661065865211,35.18656362346507,200
mp-10924__mp-10924-EXAFS-Mg-K,xmu,orig,pred,1.0058218311902052,-0.08313819117792043,0.5058450514460581,0.43323893289140275,200
mp-10924__mp-10924-EXAFS-Mg-K,xmu,orig,true,1.280762566236145e+30,-0.0024654424650079484,572626869868627.2,188932983589295.97,200
mp-10924__mp-10924-EXAFS-Mg-K,xmu,true,pred,1.0000000000000002,0.019619380243250727,573025917714956.0,189898144812108.16,200
mp-11383__mp-11383-EXAFS-Fe-K,chi,orig,pred,189838.79561263413,0.13687995907374575,32.54792756452545,25.772866588738253,200
mp-11383__mp-11383-EXAFS-Fe-K,chi,orig,true,527110.678341632,0.1554547078421604,54.23526456226356,46.03128338031482,200
mp-11383__mp-11383-EXAFS-Fe-K,chi,true,pred,0.1726276249605793,0.9877621466738074,21.994925017952134,19.699261506267334,200
mp-11383__mp-11383-EXAFS-Fe-K,xmu,orig,pred,1.004788066619461,0.07163006225112988,0.8102691596212623,0.8008932687932945,200
mp-11383__mp-11383-EXAFS-Fe-K,xmu,orig,true,1.0069564691783697,0.22461929026793703,0.8095554060517335,0.8005004480751716,200
mp-11383__mp-11383-EXAFS-Fe-K,xmu,true,pred,1.3958495232067747,0.11587532592976683,0.042007483221848864,0.027163284919767362,200
mp-13018__mp-13018-EXAFS-Sn-K,chi,orig,pred,39707.382951812564,0.11972956044267064,25.67222847322885,20.14299659717386,200
mp-13018__mp-13018-EXAFS-Sn-K,chi,orig,true,169175.6949435898,0.1344843302161953,52.9903662925877,44.368138338814006,200
mp-13018__mp-13018-EXAFS-Sn-K,chi,true,pred,0.27164151448666835,0.9963988047024316,26.956409752382502,23.29789299121683,200
mp-13018__mp-13018-EXAFS-Sn-K,xmu,orig,pred,1.0008737844733013,0.08179674389239859,0.9792401295622732,0.9783680210727659,200
mp-13018__mp-13018-EXAFS-Sn-K,xmu,orig,true,0.9994122870443578,0.4838989028142496,0.9777751870256552,0.9769006523794593,200
